	2009	2010	2011	2012	2012*	2013**	2014	2015	2016												
Agriculture	144.1977275	146.3482919	145.3735906	173.4470623	209.2061576	190.8693299	207.169654	234.6043853	238.6815402												
Mining	364.9592803	449.7790331	492.8919388	535.3121844	596.610528	657.496179	686.3825931	748.6017184	722.5771932												
Manufacturing	191.8875817	208.4243227	210.589404	230.1477191	275.2390611	282.2672797	296.4149656	322.5991759	326.1184698												
Energy	291.095585	310.6165712	315.622803	319.2976344	370.0857945	401.0937393	467.1038306	468.4538956	576.8572726												
Water	189.3181031	207.7212935	232.6591304	230.01292	275.0793759	289.6127947	317.4353327	340.6995867	386.1414063												
Construction	253.8288134	284.1897225	285.1167257	280.3427631	329.2354401	324.9737142	371.8609951	422.1016634	371.5540679												
Trade	143.5029936	153.3889535	163.3226116	169.7784525	202.7129878	218.5238874	241.6554161	265.5708535	271.3568464												
Transportation	181.7216543	197.1862239	214.3368194	217.6736161	260.523145	269.6666729	284.6625563	293.7355739	301.0935319												
Hospitality	127.0906825	136.0164579	138.6274132	154.9007775	187.7896885	183.9821319	191.5910236	210.985506	226.4065251												
Telecommunications	383.1509398	448.0266446	472.7011047	514.8268661	575.1276962	608.9767917	611.0506243	683.3962742	741.1691024												
Financial se	569.9680008	572.6888691	587.3093889	610.7478448	675.7147982	754.7589273	823.0771943	811.8598338	820.2381175												
Real estate	157.2773896	144.7265548	149.6684979	165.5747938	200.1144756	198.9116527	242.9100848	268.847509	289.695748												
Technology and Science	213.3310106	213.4575144	244.4302041	241.4521805	272.2714066	307.6675812	323.3436818	347.5183482	368.1633516												
Administration	198.3330534	185.8589504	193.6690039	196.5329667	235.8632017	237.2526695	268.1465536	272.9391807	282.7919593												
"Government, army"	229.1066551	238.2564045	252.0017669	264.8180523	351.5436573	372.655273	406.4151937	451.0274804	446.6682843												
Education	156.1118957	157.8435459	161.298551	166.2736754	200.9211964	209.3098493	223.1443864	240.3198679	249.6479669												
Healthcare	136.1637	142.1840361	174.9153358	180.3798847	217.2111514	239.2601395	264.5111251	283.6671167	290.0317089												
Entertainment	113.1006078	119.3324748	129.9795313	136.4747749	166.5121661	176.9663562	211.1804462	241.161844	232.2754713												
Service	127.9409538	136.2694655	142.9347634	142.7978905	173.8120568	165.0314497	183.3039886	210.0833888	229.083843												
